"filename", "language", "PHP", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"e:\Work\WEB\wxxy-class\api\main\index.php", "PHP", 50, 0, 0, 0, 16, 4, 70
"e:\Work\WEB\wxxy-class\api\main\mirrors.php", "PHP", 67, 0, 0, 0, 17, 4, 88
"e:\Work\WEB\wxxy-class\api\signin\index.php", "PHP", 92, 0, 0, 0, 22, 3, 117
"e:\Work\WEB\wxxy-class\auth.php", "PHP", 87, 0, 0, 0, 3, 2, 92
"e:\Work\WEB\wxxy-class\get_book.php", "PHP", 210, 0, 0, 0, 5, 2, 217
"e:\Work\WEB\wxxy-class\get_book_upload.php", "PHP", 42, 0, 0, 0, 10, 3, 55
"e:\Work\WEB\wxxy-class\index.php", "PHP", 163, 0, 0, 0, 4, 1, 168
"e:\Work\WEB\wxxy-class\member-ty.php", "PHP", 78, 0, 0, 0, 3, 1, 82
"e:\Work\WEB\wxxy-class\module\footer.php", "PHP", 23, 0, 0, 0, 0, 0, 23
"e:\Work\WEB\wxxy-class\module\head-check.php", "PHP", 35, 0, 0, 0, 5, 4, 44
"e:\Work\WEB\wxxy-class\module\header.php", "PHP", 39, 0, 0, 0, 0, 0, 39
"e:\Work\WEB\wxxy-class\module\menu.php", "PHP", 59, 0, 0, 0, 0, 0, 59
"e:\Work\WEB\wxxy-class\non-member-fty.php", "PHP", 78, 0, 0, 0, 3, 1, 82
"e:\Work\WEB\wxxy-class\nucleic_acid.php", "PHP", 78, 0, 0, 0, 3, 1, 82
"e:\Work\WEB\wxxy-class\pan.php", "PHP", 80, 0, 0, 0, 3, 1, 84
"e:\Work\WEB\wxxy-class\plugins\Parsedown.php", "PHP", 1074, 0, 0, 0, 322, 312, 1708
"e:\Work\WEB\wxxy-class\plugins\function.php", "PHP", 39, 0, 0, 0, 7, 5, 51
"e:\Work\WEB\wxxy-class\plugins\login.php", "PHP", 61, 0, 0, 0, 15, 4, 80
"e:\Work\WEB\wxxy-class\plugins\loginout.php", "PHP", 3, 0, 0, 0, 0, 0, 3
"e:\Work\WEB\wxxy-class\plugins\sql_conn.php", "PHP", 11, 0, 0, 0, 15, 1, 27
"e:\Work\WEB\wxxy-class\setting.php", "PHP", 133, 0, 0, 0, 3, 1, 137
"e:\Work\WEB\wxxy-class\setting_data_upload.php", "PHP", 74, 0, 0, 0, 13, 5, 92
"e:\Work\WEB\wxxy-class\signin\20220911.php", "PHP", 153, 0, 0, 0, 4, 2, 159
"e:\Work\WEB\wxxy-class\signin\admin_20220911.php", "PHP", 116, 0, 0, 0, 5, 2, 123
"e:\Work\WEB\wxxy-class\signin\index.php", "PHP", 89, 0, 0, 0, 3, 1, 93
"e:\Work\WEB\wxxy-class\signin\upload\20220911.php", "PHP", 63, 0, 0, 0, 10, 3, 76
"e:\Work\WEB\wxxy-class\src\css\bootstrap-icons.css", "CSS", 0, 0, 1874, 0, 0, 3, 1877
"e:\Work\WEB\wxxy-class\src\css\bootstrap.min.css", "CSS", 0, 0, 2, 0, 5, 0, 7
"e:\Work\WEB\wxxy-class\src\css\city-picker.css", "CSS", 0, 0, 138, 0, 0, 23, 161
"e:\Work\WEB\wxxy-class\src\css\qweather-icons.css", "CSS", 0, 0, 485, 0, 5, 4, 494
"e:\Work\WEB\wxxy-class\src\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 6, 0, 7
"e:\Work\WEB\wxxy-class\src\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 6, 0, 7
"e:\Work\WEB\wxxy-class\src\js\city-picker.data.js", "JavaScript", 0, 0, 0, 4014, 47, 6, 4067
"e:\Work\WEB\wxxy-class\src\js\city-picker.js", "JavaScript", 0, 0, 0, 483, 19, 78, 580
"e:\Work\WEB\wxxy-class\src\js\jQuery.js", "JavaScript", 0, 0, 0, 1, 1, 0, 2
"e:\Work\WEB\wxxy-class\src\js\main.js", "JavaScript", 0, 0, 0, 18, 22, 11, 51
"e:\Work\WEB\wxxy-class\task.php", "PHP", 193, 0, 0, 0, 8, 3, 204
"Total", "-", 4442, 8, 2499, 4518, 854, 567, 12888
